,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2004,0.016723087,0.019476324,0.015709687,0.014207405,0.015468043,0.01614613,0.017026923,0.017402021,0.017166992,0.0173674,0.015688862,0.015456884,0.017687101,0.018512862,0.018798775,0.015943364,0.014853928,0.015768016,0.01592054,0.016304914,0.013717286,0.01845012,0.016006788,0.015767711,0.014880196,0.01609872,0.017824379,0.016949776,0.014515278,0.013878225,0.018526601,0.013989008,0.015254718,0.018458658,0.018365874,0.015237858,0.017074361,0.015967645,0.018806801,0.01851097,0.025210832,0.013179408,0.01672482,0.01256665,0.020083519,0.014453156,0.018063067,0.020622005,0.016021209,0.017035408,0.017805213,0.018360127,0.017395314,0.014098795,0.014590408,0.01663873,0.017427446,0.01692934,0.016528195,0.016356124
2005,0.017096316,0.016959749,0.018253036,0.01490111,0.020202063,0.016491579,0.016945405,0.015845522,0.017194973,0.015684333,0.01569828,0.015009828,0.017404702,0.019711691,0.019224446,0.016814873,0.014731269,0.016374961,0.015223938,0.015539213,0.012504591,0.018327868,0.016027679,0.016135874,0.019386098,0.015890233,0.015523312,0.015856445,0.015383077,0.016189479,0.019760942,0.016668869,0.013868586,0.018789372,0.018550534,0.01455796,0.016518537,0.017636943,0.016045806,0.017949584,0.022677676,0.014393738,0.016628107,0.014132243,0.018228168,0.015416431,0.016414044,0.020325259,0.015228554,0.017741228,0.014165348,0.01958308,0.016289796,0.014520382,0.015952891,0.01615112,0.014988767,0.017920329,0.016657354,0.015706409
2006,0.017284848,0.020378883,0.017773418,0.015407023,0.016458109,0.015833378,0.016927591,0.016397097,0.016855124,0.016727059,0.015936065,0.015090664,0.018630486,0.018292296,0.017588098,0.016070354,0.013842255,0.017462441,0.015217377,0.015062917,0.013155792,0.018539684,0.017262364,0.014893094,0.017772957,0.015711352,0.017373376,0.01600522,0.014222584,0.015065701,0.016601716,0.015047679,0.01439384,0.018083708,0.017711623,0.015735462,0.019215699,0.017745643,0.017695524,0.017656815,0.022933364,0.014939954,0.016448563,0.012700746,0.02627489,0.014316766,0.018525057,0.018193281,0.01527066,0.016154573,0.015043376,0.01960797,0.016469351,0.014377508,0.015116482,0.015301631,0.015222577,0.017955151,0.016468457,0.015554323
2007,0.020084987,0.021714687,0.015023233,0.016672721,0.015641525,0.013346313,0.016478321,0.014865224,0.018321637,0.019012988,0.015678285,0.016106434,0.018179082,0.020824034,0.018222998,0.016995469,0.014812924,0.017457989,0.015132669,0.014126284,0.012791006,0.017512608,0.017593516,0.014152728,0.01845223,0.015598533,0.019808862,0.015513067,0.014823236,0.014937532,0.016864665,0.016947962,0.013751218,0.018747594,0.016933256,0.014613554,0.018096168,0.017965093,0.016628825,0.018158461,0.015677235,0.014347802,0.016601041,0.014029109,0.022349865,0.014850867,0.015273025,0.020329006,0.016337899,0.014055122,0.017091954,0.020899746,0.01725128,0.014348811,0.014981099,0.016186602,0.016258195,0.01764103,0.016976084,0.015926313
2008,0.01727593,0.019553151,0.014513492,0.014967,0.01533635,0.014778928,0.018771482,0.016746201,0.017685445,0.015612516,0.015576866,0.015248604,0.023997249,0.020397193,0.02108007,0.016330406,0.014726905,0.01915198,0.015550433,0.014205389,0.017292946,0.018064091,0.016888725,0.014949487,0.019550605,0.015287561,0.020901621,0.016133032,0.014832774,0.015242529,0.017136669,0.016449734,0.014684085,0.014308658,0.016411298,0.015219121,0.017305455,0.017485371,0.016660028,0.017613219,0.018814035,0.015183394,0.016549424,0.013357523,0.02132238,0.014655647,0.015951537,0.018159431,0.01724359,0.014654133,0.014880898,0.019843383,0.015610898,0.014224042,0.013593271,0.015622861,0.015481325,0.017066015,0.016146419,0.017717198
2009,0.01882735,0.019984583,0.015860371,0.014047198,0.018013913,0.014507957,0.018134327,0.014690992,0.01941715,0.019662064,0.016373887,0.015473692,0.021995148,0.021728179,0.01854252,0.01693689,0.01452906,0.017168546,0.015862655,0.013568686,0.018485334,0.018379151,0.01603752,0.015664638,0.016755294,0.01555112,0.021095579,0.016006318,0.013693643,0.014296378,0.016756722,0.014728748,0.014763048,0.019867048,0.016085371,0.013956761,0.018713788,0.018414944,0.016755127,0.016984874,0.019442156,0.014727147,0.016215076,0.013396068,0.021308983,0.014044546,0.015788445,0.018075506,0.017310942,0.01378708,0.015008786,0.017626201,0.016013656,0.013973447,0.013994458,0.015798927,0.015713974,0.01530151,0.016796047,0.017360467
2010,0.018877527,0.024743935,0.015331936,0.015276832,0.015062917,0.013493468,0.017487903,0.015134762,0.020001332,0.017659536,0.016508413,0.015689383,0.030736403,0.020767557,0.019931754,0.01687224,0.014837484,0.019199705,0.015375811,0.013080067,0.016771269,0.014743407,0.015884151,0.013836222,0.018020461,0.014897362,0.021195795,0.015282561,0.014485746,0.014736699,0.01717916,0.014297894,0.014261464,0.013647949,0.015733686,0.013791462,0.016620752,0.017381516,0.015904114,0.016968835,0.020116079,0.016641609,0.016494763,0.013759267,0.022963038,0.014356294,0.014844333,0.017067405,0.015810997,0.013598712,0.019601929,0.018951116,0.015942799,0.014321704,0.014694179,0.014996503,0.014404934,0.016633581,0.015721462,0.017369824
2011,0.019232436,0.020198687,0.014346132,0.014752178,0.014678858,0.015662177,0.01759175,0.015313213,0.019063008,0.016476857,0.016438921,0.01519388,0.022995634,0.021065289,0.017294252,0.017015384,0.016437954,0.021809557,0.015907275,0.015100239,0.015064053,0.017045953,0.01555951,0.014860239,0.019678118,0.015418033,0.021089264,0.015644373,0.01269107,0.014947429,0.016638511,0.013624168,0.01457735,0.01728224,0.01616569,0.014790283,0.018874444,0.01814104,0.015631722,0.017156863,0.027363899,0.015519533,0.016724583,0.013860732,0.01892888,0.014294582,0.015021729,0.0186007,0.014850976,0.015794283,0.017334856,0.018210987,0.017067208,0.01426974,0.01457413,0.014948047,0.015044943,0.014485263,0.01481616,0.016834729
2012,0.020628389,0.026036031,0.011607351,0.016786025,0.015578722,0.013958291,0.017778606,0.014152775,0.023041752,0.020027176,0.016329363,0.015871015,0.028862978,0.022629868,0.016478054,0.018287531,0.015472324,0.020366849,0.015991506,0.013658915,0.015011708,0.015329836,0.01548348,0.013105814,0.018355151,0.014987277,0.023147151,0.015423331,0.012920325,0.015841355,0.015234065,0.013745553,0.014296886,0.013625118,0.015581431,0.015509958,0.017348266,0.018486862,0.015528865,0.016619511,0.016131822,0.015016915,0.016334747,0.016581654,0.021063065,0.0144842,0.014567531,0.015914979,0.015941106,0.012163555,0.018901897,0.018788912,0.016267203,0.014294242,0.014992967,0.015294549,0.015547776,0.015614941,0.015364762,0.017607711
2013,0.019240796,0.025168346,0.012071269,0.01740892,0.014507798,0.013612764,0.015974914,0.014799548,0.026472907,0.020982198,0.016611204,0.01603423,0.025680345,0.023337821,0.01749826,0.017222878,0.014026442,0.021512795,0.016107189,0.014077182,0.017852374,0.015000291,0.017874229,0.012510472,0.016337975,0.015014308,0.022662791,0.01535156,0.013800464,0.016356955,0.014906964,0.013556735,0.012909158,0.018525006,0.015480183,0.014938861,0.018050648,0.018996591,0.016106019,0.016508796,0.014071269,0.013061809,0.016491566,0.017006286,0.01867525,0.015133791,0.015944461,0.016649005,0.015245852,0.013111893,0.018580601,0.017244172,0.017085631,0.013973387,0.01473461,0.014609843,0.017351578,0.013843229,0.01533725,0.01676033
2014,0.022223046,0.022905094,0.018302795,0.017783933,0.014907562,0.012932582,0.015175875,0.013583123,0.023979865,0.019256279,0.016550014,0.015514057,0.02903447,0.022618944,0.016358463,0.019725554,0.014566943,0.021643874,0.016920944,0.014811266,0.015083051,0.014378125,0.015122925,0.014705251,0.015976968,0.01579185,0.021193225,0.015579381,0.013220831,0.016621613,0.019364528,0.014917547,0.014590398,0.014227093,0.016696156,0.015453373,0.019822816,0.019495529,0.015279861,0.017582204,0.015346088,0.01397271,0.016453932,0.015603601,0.017355331,0.015014478,0.014293368,0.017449315,0.013854896,0.012931404,0.017705964,0.01687725,0.016281669,0.013739937,0.015438193,0.015702101,0.015184512,0.013774134,0.015061939,0.014061771
